iter	RMSE
0	0.8176432134
1	0.8062166352
2	0.7964825391
3	0.7881177296
4	0.7802040399
5	0.7734074734
6	0.7671972652
7	0.7615969318
8	0.7563657768
9	0.7513425186
10	0.7467427873
11	0.7426846602
12	0.7385134604
13	0.7348363278
14	0.7312287098
15	0.7280062967
16	0.7247841478
17	0.7217566564
18	0.7190831313
19	0.7163957491
20	0.7137876616
21	0.7114671319
22	0.7089681524
23	0.706628676
24	0.7043681736
25	0.7022991981
26	0.7003308416
27	0.6983789754
28	0.6964517966
29	0.6945417706
30	0.6926250685
31	0.6907121713
32	0.6889494084
33	0.6872287307
34	0.6856021149
35	0.6839713871
36	0.6823924946
37	0.6808753758
38	0.6792712027
39	0.6777726017
40	0.67644315
41	0.6750268585
42	0.6735952266
43	0.6722536467
44	0.6709874646
45	0.6695746303
46	0.6683008476
47	0.6670232801
48	0.665702754
49	0.6644783057
50	0.663331591
51	0.6621546777
52	0.6609872163
53	0.6598647005
54	0.6587495531
55	0.6576862773
56	0.6565912161
57	0.655414228
58	0.6543223453
59	0.6532863763
60	0.652209451
61	0.6511787381
62	0.650147996
63	0.6491018196
64	0.6480738443
65	0.6471035961
66	0.6462064902
67	0.6452742007
68	0.644318272
69	0.6434182844
70	0.6424785456
71	0.6415526412
72	0.6406435252
73	0.6397352595
74	0.6388579501
75	0.6379897676
76	0.6371537281
77	0.6363082056
78	0.635497054
79	0.6346783885
80	0.6338280235
81	0.6330070076
82	0.6321967127
83	0.6314178986
84	0.6306334155
85	0.6298513009
86	0.6290956918
87	0.6283368031
88	0.6276048856
89	0.6268793613
90	0.6261546869
91	0.6254519468
92	0.6247220855
93	0.6240131212
94	0.6233225552
95	0.62260347
96	0.6218512916
97	0.6211838824
98	0.6205184206
99	0.6198210085
100	0.6191788459
101	0.6185484924
102	0.6178892255
103	0.6172060697
104	0.6165440847
105	0.6159086782
106	0.6152694109
107	0.6146414982
108	0.6139951491
109	0.6133790273
110	0.6127726756
111	0.6121738422
112	0.6115785999
113	0.6109463769
114	0.6103520088
115	0.6097528441
116	0.6091667813
117	0.6086016468
118	0.6080318623
119	0.6074571904
120	0.6069014857
121	0.6063150667
122	0.6057122436
123	0.6051628112
124	0.6045144975
125	0.6039621255
126	0.6034104589
127	0.6028638117
128	0.6023001535
129	0.601743074
130	0.6012059701
131	0.6006560339
132	0.6001409129
133	0.5996081499
134	0.5990988563
135	0.5985681881
136	0.5980459704
137	0.5975402129
138	0.5970525878
139	0.5964300819
140	0.5959359187
141	0.5954229805
142	0.5949245678
143	0.5944412829
144	0.5939535711
145	0.5934649126
146	0.5929734563
147	0.5924964095
148	0.5920336411
149	0.5915421653
150	0.5910745564
151	0.5905740699
152	0.5901102887
153	0.5896582087
154	0.5892063505
155	0.5887434704
156	0.5882883053
157	0.5878484443
158	0.5873992894
159	0.5869414703
160	0.586508139
161	0.586050586
162	0.5856235139
163	0.5852084201
164	0.5847797766
165	0.5843610304
166	0.5839084251
167	0.5834971906
168	0.5830867948
169	0.5826536318
170	0.5822354797
171	0.5818015396
172	0.5814041976
173	0.5809903056
174	0.5805900666
175	0.5801505748
176	0.5797511206
177	0.5793596262
178	0.5789452469
179	0.5785195476
180	0.5781241465
181	0.5777416932
182	0.5773586556
183	0.576962913
184	0.5765735
185	0.5762038162
186	0.5758188517
187	0.5754424771
188	0.5750750385
189	0.5747092431
190	0.5743033977
191	0.5739250737
192	0.5735577785
193	0.5731948085
194	0.5728252248
195	0.5724640007
196	0.5721092215
197	0.5717434554
198	0.571374245
199	0.5710220098
200	0.5706622545
201	0.5703075396
202	0.5699467856
203	0.5695968514
204	0.5692491476
205	0.5689028226
206	0.5685076878
207	0.5681532809
208	0.5678177245
209	0.5674789995
210	0.5671412311
211	0.5667906015
212	0.5664596691
213	0.5661037102
214	0.5657713098
215	0.5654418034
216	0.5651149096
217	0.5647946313
218	0.5644749447
219	0.5641468604
220	0.5638336692
221	0.5635151086
222	0.5632125145
223	0.562892923
224	0.5625719906
225	0.562247567
226	0.5619384449
227	0.5615992332
228	0.5612866842
229	0.5609783044
230	0.5606530316
231	0.5603487704
232	0.56004975
233	0.5597452613
234	0.5594151858
235	0.5591034268
236	0.5587954536
237	0.5584881047
238	0.5581868533
239	0.5578753013
240	0.557575706
241	0.5572803647
242	0.5569855516
243	0.5566944547
244	0.5564038722
245	0.5561083908
246	0.5558144742
247	0.5555131774
248	0.5552213904
249	0.5549277469
250	0.5546255423
251	0.5543001372
252	0.5540169624
253	0.553686398
254	0.5534028571
255	0.5531287907
256	0.552843423
257	0.5525644289
258	0.5523001028
259	0.5520087706
260	0.5517304281
261	0.5514533
262	0.5511742517
263	0.5509096604
264	0.550639081
265	0.5503712355
266	0.5501053572
267	0.549839415
268	0.5495708027
269	0.5493134424
270	0.5490555292
271	0.5488029422
272	0.5485539038
273	0.5482911231
274	0.5480352087
275	0.5477822529
276	0.547524911
277	0.5472699343
278	0.5470182518
279	0.546752191
280	0.546499681
281	0.5462007718
282	0.5459504768
283	0.5457039815
284	0.545446416
285	0.5451953383
286	0.5449523026
287	0.5447147369
288	0.5444786028
289	0.5442396726
290	0.5439821909
291	0.5436830174
292	0.5434295467
293	0.5431729627
294	0.5429204753
295	0.5426762594
