iter	Passed	Remaining
0	330	164969
1	524	130709
2	717	118822
3	911	112971
4	1098	108710
5	1287	105984
6	1480	104291
7	1672	102838
8	1865	101766
9	2051	100543
10	2242	99701
11	2431	98886
12	2619	98128
13	2802	97272
14	2985	96532
15	3185	96347
16	3375	95902
17	3605	96551
18	3793	96038
19	3967	95221
20	4156	94808
21	4339	94285
22	4533	94019
23	4709	93405
24	4901	93129
25	5088	92760
26	5270	92331
27	5461	92070
28	5643	91655
29	5824	91253
30	6008	90899
31	6190	90534
32	6373	90197
33	6565	89983
34	6740	89548
35	6929	89316
36	7112	89006
37	7300	88752
38	7487	88500
39	7668	88191
40	7845	87827
41	8034	87614
42	8223	87398
43	8394	86996
44	8576	86721
45	8763	86494
46	8947	86243
47	9128	85957
48	9323	85812
49	9505	85546
50	9678	85206
51	9858	84932
52	10039	84675
53	10227	84470
54	10406	84199
55	10588	83949
56	10774	83739
57	10956	83492
58	11129	83187
59	11320	83018
60	11494	82724
61	11679	82508
62	11855	82235
63	12043	82043
64	12217	81762
65	12405	81576
66	12577	81286
67	12765	81100
68	12961	80960
69	13136	80692
70	13316	80463
71	13503	80270
72	13689	80073
73	13867	79833
74	14042	79576
75	14228	79377
76	14418	79205
77	14598	78983
78	14787	78801
79	14972	78604
80	15151	78374
81	15334	78170
82	15507	77912
83	15683	77668
84	15866	77465
85	16053	77282
86	16230	77048
87	16415	76853
88	16586	76596
89	16774	76415
90	16954	76200
91	17134	75989
92	17317	75786
93	17505	75610
94	17692	75426
95	17869	75201
96	18054	75010
97	18269	74943
98	18464	74789
99	18640	74563
100	18813	74323
101	19005	74158
102	19203	74017
103	19382	73804
104	19567	73610
105	19749	73408
106	19934	73218
107	20116	73014
108	20298	72814
109	20501	72687
110	20692	72517
111	20897	72393
112	21085	72214
113	21273	72029
114	21469	71877
115	21658	71695
116	21851	71530
117	22057	71406
118	22236	71193
119	22434	71042
120	22626	70871
121	22817	70697
122	22986	70455
123	23163	70238
124	23349	70049
125	23532	69851
126	23708	69631
127	23890	69433
128	24071	69228
129	24256	69038
130	24429	68811
131	24602	68589
132	24787	68397
133	24970	68202
134	25139	67970
135	25319	67766
136	25500	67565
137	25675	67351
138	25845	67124
139	26032	66941
140	26208	66730
141	26385	66521
142	26570	66333
143	26755	66144
144	26932	65938
145	27102	65713
146	27283	65517
147	27467	65328
148	27648	65131
149	27833	64943
150	28015	64750
151	28192	64545
152	28368	64338
153	28553	64153
154	28724	63935
155	28908	63747
156	29096	63567
157	29266	63348
158	29441	63142
159	29620	62943
160	29804	62755
161	29986	62565
162	30170	62376
163	30351	62184
164	30532	61990
165	30716	61802
166	30889	61594
167	31059	61379
168	31228	61162
169	31405	60963
170	31589	60777
171	31775	60594
172	31943	60378
173	32114	60168
174	32295	59977
175	32484	59801
176	32687	59650
177	32871	59464
178	33050	59269
179	33229	59074
180	33417	58896
181	33600	58708
182	33779	58514
183	33962	58327
184	34145	58140
185	34325	57947
186	34514	57769
187	34696	57582
188	34871	57380
189	35050	57188
190	35227	56991
191	35406	56797
192	35585	56604
193	35761	56407
194	35949	56228
195	36122	56026
196	36305	55839
197	36479	55640
198	36662	55453
199	36843	55264
200	37015	55063
201	37191	54866
202	37368	54672
203	37539	54468
204	37731	54295
205	37904	54096
206	38095	53922
207	38269	53725
208	38449	53534
209	38617	53329
