iter	RMSE
0	0.318651244
1	0.3165114674
2	0.3146549629
3	0.3129983784
4	0.3115506669
5	0.3101914427
6	0.3088322323
7	0.3075933212
8	0.3064128241
9	0.3052996741
10	0.3042266256
11	0.3031814564
12	0.302210508
13	0.3012311037
14	0.3003420208
15	0.299471694
16	0.2986281883
17	0.2978136272
18	0.2970663276
19	0.2963529481
20	0.2956110381
21	0.2948847425
22	0.2941767212
23	0.2935209413
24	0.2928615626
25	0.2922346036
26	0.2916304501
27	0.2910309161
28	0.2904402108
29	0.2898702044
30	0.2893074541
31	0.2887575553
32	0.2882279324
33	0.2877123368
34	0.2872157721
35	0.2867476369
36	0.2862545254
37	0.2857785416
38	0.2853061715
39	0.2848495035
40	0.2843786504
41	0.2839330595
42	0.283518393
43	0.2830847351
44	0.2826601044
45	0.2822596588
46	0.2818452783
47	0.2814518987
48	0.2810660249
49	0.2806686776
50	0.2802930154
51	0.2799301873
52	0.27956424
53	0.2791884695
54	0.2788233659
55	0.2784750987
56	0.2781205559
57	0.2777693248
58	0.2774224564
59	0.2770939164
60	0.2767841984
61	0.2764738163
62	0.2761599868
63	0.2758391003
64	0.2754954973
65	0.275190486
66	0.2748813917
67	0.2745550582
68	0.2742625921
69	0.2739671331
70	0.2736683934
71	0.2733629678
72	0.2730793739
73	0.2728023603
74	0.2725200617
75	0.2722406772
76	0.2719677664
77	0.2717131011
78	0.2714581308
79	0.2711987478
80	0.2709079424
81	0.2706419761
82	0.2704051797
83	0.2701370544
84	0.2698878158
85	0.2696543181
86	0.2694158191
87	0.2691732065
88	0.2689285217
89	0.2686550711
90	0.268426772
91	0.2681857193
92	0.2679715091
93	0.2677496177
94	0.267534765
95	0.2673204731
96	0.267102638
97	0.2668869939
98	0.2666749118
99	0.2664628283
100	0.2662718801
101	0.2660795366
102	0.2658758934
103	0.2656694281
104	0.2654717793
105	0.2652198157
106	0.265025268
107	0.264820582
108	0.26463164
109	0.2644424505
110	0.2642366176
111	0.2640582133
112	0.263875558
113	0.263693338
114	0.2635081671
115	0.2633030142
116	0.2631192278
117	0.2628939079
118	0.262720837
119	0.2625469833
120	0.2623665854
121	0.2621946674
122	0.262023626
123	0.2618413229
124	0.2616705204
125	0.2614965456
126	0.2613285541
127	0.2611266015
128	0.260949926
129	0.2607863893
130	0.2606321484
131	0.2604634845
132	0.2603056289
133	0.2601417263
134	0.259988338
135	0.2598148044
136	0.2596663425
137	0.2595144222
138	0.2593619537
139	0.2592097971
140	0.2590627816
141	0.258913135
142	0.2587644505
143	0.2586173302
144	0.2584792032
145	0.2583358481
146	0.2581891945
147	0.2580465387
148	0.2579024591
149	0.2577531031
150	0.2576105817
151	0.2574650051
152	0.2573316096
153	0.2571956869
154	0.2570612483
155	0.2569048571
156	0.2567689926
157	0.256639941
158	0.2564838925
159	0.256353232
160	0.2562199823
161	0.2560884735
162	0.2559603845
163	0.2558337607
164	0.2557048968
165	0.2555858881
166	0.2554576209
167	0.2553247767
168	0.2552017418
169	0.2550655941
170	0.2549455479
171	0.2548195874
172	0.2546988088
173	0.2545746772
174	0.2544564341
175	0.2543424499
176	0.2542268135
177	0.2541049888
178	0.2539886437
179	0.2538674186
180	0.2537544693
181	0.2536433322
182	0.2535336636
183	0.2534232985
184	0.2533142512
185	0.2531974155
186	0.2530937359
187	0.2529877424
188	0.2528773693
189	0.2527694742
190	0.2526540701
191	0.2525463566
192	0.2524406598
193	0.2523314616
194	0.2522306124
195	0.2521154987
196	0.2520111247
197	0.2518847434
198	0.2517775001
199	0.2516663055
200	0.2515709384
201	0.2514521348
202	0.2513536271
203	0.2512574545
204	0.251137162
205	0.2510450198
206	0.250946797
207	0.2508478912
208	0.2507524891
209	0.2506569765
210	0.2505621817
211	0.2504722243
212	0.2503785587
213	0.2502864107
214	0.2501923489
215	0.2500976282
216	0.2499892647
217	0.2498978241
218	0.2498000301
219	0.2497064865
220	0.2496189872
221	0.2495237638
222	0.2494327667
223	0.2493286652
224	0.249237961
225	0.2491473453
226	0.249064027
227	0.2489787082
228	0.2488927061
229	0.2488038917
230	0.2487225283
231	0.2486387307
232	0.2485472776
233	0.2484554027
234	0.2483678821
235	0.2482626
236	0.2481831043
237	0.2481014084
238	0.2480139389
239	0.2479323628
240	0.2478407127
241	0.2477506187
242	0.2476685347
243	0.2475930571
244	0.2475115541
245	0.2474313286
246	0.2473515518
247	0.2472626364
248	0.2471769517
249	0.247101663
250	0.2470254249
251	0.2469413154
252	0.2468635242
253	0.2467853032
254	0.2467083923
255	0.2466306524
256	0.2465576633
257	0.2464885634
258	0.2464142726
259	0.2463330624
260	0.2462595854
261	0.2461831474
262	0.246104761
263	0.2460310489
264	0.2459588308
265	0.2458889346
266	0.2458179604
267	0.2457400743
268	0.2456651703
269	0.2455934771
270	0.245513723
271	0.2454323424
272	0.2453661445
273	0.2452897354
274	0.245222918
275	0.2451508477
276	0.2450842062
277	0.2450040883
278	0.2449330525
279	0.2448673062
280	0.2447932198
281	0.2447204444
282	0.2446569074
283	0.2445843305
284	0.2445121914
285	0.2444493525
286	0.2443849608
287	0.2442893317
288	0.2442263364
289	0.2441633259
290	0.2440987629
291	0.2440366793
292	0.2439668528
293	0.2439049288
294	0.2438378943
295	0.2437760908
296	0.2437115433
297	0.2436524735
298	0.2435901572
299	0.24352808
300	0.2434649603
301	0.2434040792
302	0.2433383828
303	0.2432773012
304	0.2432153235
305	0.2431507891
306	0.2430893741
307	0.2430276291
308	0.2429667762
309	0.2429048194
310	0.2428478469
311	0.2427808345
312	0.2427234499
313	0.2426675488
314	0.2426057843
315	0.2425392206
316	0.2424808456
317	0.2424168375
318	0.2423470025
319	0.2422919295
320	0.2422315193
321	0.242177037
322	0.2421075935
323	0.2420531815
324	0.2419921543
325	0.2419364551
326	0.241879858
327	0.2418245941
328	0.2417626125
329	0.2417102947
330	0.2416530428
331	0.2415976233
332	0.2415458378
333	0.2414847527
334	0.2414334543
335	0.2413638903
336	0.2413068129
337	0.2412457865
338	0.2411940327
339	0.2411406563
340	0.2410746048
341	0.2410198571
342	0.2409645275
343	0.2409054494
344	0.2408519612
345	0.2408027216
346	0.2407452332
347	0.2406938729
348	0.2406441078
349	0.2405920371
350	0.2405443219
351	0.240493811
352	0.2404420393
353	0.2403681848
354	0.2403218903
355	0.2402698124
356	0.2402183513
357	0.2401685971
358	0.2401187449
359	0.2400703552
360	0.2400116851
361	0.2399492484
362	0.2399038062
363	0.2398562485
364	0.2398073232
365	0.2397487835
366	0.2397027135
367	0.2396480634
368	0.2396025664
369	0.2395534675
370	0.2395086845
371	0.2394609146
372	0.239406151
373	0.2393618414
374	0.2393175675
375	0.2392722108
376	0.2392249799
377	0.2391767208
378	0.2391243908
379	0.2390797455
380	0.2390315461
381	0.2389894076
382	0.2389328896
383	0.23888301
384	0.2388383817
385	0.2387891679
386	0.238731826
387	0.2386778553
388	0.2386230469
389	0.2385722898
390	0.2384918246
391	0.2384446133
392	0.2384003794
393	0.238356713
394	0.2383008965
395	0.23825784
396	0.2382164898
397	0.238176305
398	0.238123654
399	0.238082952
400	0.2380122397
401	0.2379614705
402	0.2378975501
403	0.2378344808
404	0.2377885151
405	0.2377384751
406	0.2376846231
407	0.2376399185
408	0.2375952297
409	0.2375534373
410	0.2375087136
411	0.2374690171
412	0.2374285025
413	0.2373734303
414	0.2373269832
415	0.2372832638
416	0.2372444275
417	0.2372044317
418	0.2371627439
419	0.2371243803
420	0.2370770803
421	0.2370303795
422	0.2369912026
423	0.2369518716
424	0.2369104841
425	0.2368630727
426	0.2368198744
427	0.2367778657
428	0.2367380185
429	0.2366977078
430	0.2366528607
431	0.2366141068
432	0.2365688488
433	0.2365257539
434	0.2364820594
435	0.2364402976
436	0.2363979697
437	0.2363533917
438	0.2363154102
439	0.2362755004
440	0.2362265975
441	0.2361917491
442	0.2361434989
443	0.2361054135
444	0.23606304
445	0.2360240418
446	0.235979255
447	0.2359425251
448	0.2358941189
449	0.2358572217
450	0.2358196859
451	0.235783295
452	0.2357436732
453	0.2357080096
454	0.2356724089
455	0.2356364442
456	0.235598721
457	0.2355655323
458	0.2355273529
459	0.2354923919
460	0.2354535185
461	0.2354169042
462	0.2353827181
463	0.2353459601
464	0.2353074275
465	0.2352639879
466	0.2352299119
467	0.2351980168
468	0.2351623611
469	0.2351153964
470	0.2350801962
471	0.2350432143
472	0.235010124
473	0.2349614952
474	0.2349270251
475	0.2348928646
476	0.2348600278
477	0.2348151737
478	0.234780433
479	0.2347455316
480	0.2347085117
481	0.2346614564
482	0.2346217709
483	0.2345786824
484	0.234542584
485	0.2345121779
486	0.2344722771
487	0.2344344293
488	0.2343954726
489	0.2343617763
490	0.2343278439
491	0.2342941129
492	0.2342604206
493	0.2342276934
494	0.2341956697
495	0.2341576542
496	0.2341280672
497	0.2340972867
498	0.2340509224
499	0.2340146594
