iter	Passed	Remaining
0	170	85151
1	338	84176
2	507	84042
3	675	83760
4	843	83510
5	1014	83535
6	1181	83186
7	1348	82956
8	1512	82511
9	1680	82333
10	1847	82140
11	2011	81813
12	2172	81389
13	2335	81088
14	2507	81065
15	2669	80752
16	2826	80301
17	2990	80065
18	3164	80106
19	3330	79938
20	3498	79790
21	3658	79492
22	3817	79171
23	3973	78803
24	4139	78650
25	4305	78490
26	4465	78226
27	4636	78165
28	4791	77823
29	4954	77617
30	5115	77396
31	5274	77146
32	5429	76842
33	5595	76687
34	5763	76572
35	5919	76296
36	6084	76143
37	6243	75903
38	6407	75737
39	6575	75622
40	6735	75400
41	6893	75170
42	7047	74900
43	7208	74704
44	7369	74512
45	7533	74350
46	7687	74096
47	7853	73951
48	8012	73743
49	8203	73834
50	8373	73716
51	8537	73549
52	8701	73389
53	8861	73191
54	9026	73036
55	9181	72795
56	9347	72646
57	9511	72482
58	9669	72276
59	9823	72042
60	9986	71872
61	10147	71689
62	10313	71536
63	10469	71322
64	10633	71160
65	10791	70959
66	10946	70744
67	11101	70527
68	11258	70326
69	11410	70090
70	11567	69894
71	11738	69781
72	11901	69613
73	12058	69415
74	12223	69267
75	12389	69123
76	12550	68945
77	12712	68777
78	12866	68565
79	13022	68370
80	13184	68201
81	13339	67998
82	13498	67815
83	13655	67625
84	13810	67425
85	13971	67256
86	14126	67060
87	14286	66886
88	14443	66699
89	14606	66540
90	14754	66314
91	14910	66124
92	15058	65902
93	15214	65713
94	15377	65554
95	15536	65382
96	15687	65175
97	15846	65001
98	16008	64842
99	16163	64652
100	16320	64475
101	16470	64266
102	16633	64112
103	16784	63908
104	16939	63725
105	17101	63567
106	17265	63412
107	17420	63228
108	17576	63051
109	17729	62857
110	17883	62674
111	18040	62496
112	18199	62328
113	18364	62182
114	18524	62018
115	18689	61868
116	18843	61684
117	19003	61520
118	19158	61340
119	19315	61166
120	19474	60997
121	19630	60822
122	19787	60648
123	19955	60510
124	20106	60320
125	20260	60137
126	20415	59960
127	20582	59817
128	20738	59642
129	20893	59467
130	21042	59271
131	21206	59120
132	21362	58947
133	21519	58778
134	21676	58606
135	21831	58432
136	21992	58271
137	22143	58086
138	22307	57934
139	22474	57792
140	22639	57643
141	22798	57476
142	22975	57357
143	23134	57193
144	23303	57052
145	23476	56921
146	23638	56763
147	23793	56589
148	23944	56406
149	24097	56228
150	24257	56065
151	24410	55887
152	24570	55724
153	24726	55553
154	24873	55362
155	25027	55189
156	25183	55017
157	25336	54843
158	25493	54674
159	25656	54519
160	25819	54365
161	25972	54189
162	26124	54011
163	26276	53835
